,Hour,Station,CO,NO2,O3,PM 10,SO2,Temperature,Humidity,Wind velocity
32,5,Atemajac,0.8119918032786886,0.017965819672131147,0.014368142076502733,32.41434426229508,0.0017839344262295083,17.733060109289617,63.593715846994535,2.1275956284153006
33,5,Las Aguilas,0.6295068870523416,0.025240936639118455,0.013590826446280992,21.672011019283744,0.0011901652892561984,17.291184573002756,64.02782369146006,2.0066115702479337
34,5,Las Pintas,0.8731678571428572,0.023559835164835164,0.011573791208791208,44.81478021978022,0.0036995879120879124,18.75357142857143,71.13543956043956,1.2252747252747254
35,5,Loma Dorada,0.7852524590163934,0.022372677595628415,0.01324071038251366,26.971967213114752,0.0032418551912568303,17.779508196721313,63.90491803278689,0.6931693989071038
36,5,Miravalle,0.9179207650273224,0.021617622950819673,0.013645573770491803,65.93054644808743,0.0032912568306010925,19.149726775956285,65.04262295081966,1.235792349726776
37,5,Oblatos,0.6348306010928962,0.01542896174863388,0.016154590163934425,32.94043715846995,0.0032995901639344257,18.828415300546446,70.72185792349727,1.9396174863387978
38,5,Tlaquepaque,0.8165628415300548,0.021168497267759562,0.010805081967213115,33.14584699453552,0.0024766120218579235,17.547267759562843,61.11612021857923,1.3797814207650274
39,5,Vallarta,0.7871431693989072,0.016219524590163934,0.019566475409836068,27.85398907103825,0.0019399180327868853,18.8931693989071,64.02622950819672,2.05327868852459
40,6,Atemajac,1.0024016393442623,0.022052076502732238,0.011321284153005463,33.48174863387978,0.0019686612021857924,17.278415300546445,65.1344262295082,1.8546448087431693
41,6,Las Aguilas,0.7033653846153846,0.026591620879120877,0.010776923076923076,22.134725274725273,0.0012296153846153846,16.864835164835167,65.21813186813188,1.836813186813187
42,6,Las Pintas,0.9685384615384616,0.0258810989010989,0.009204093406593407,46.35236263736263,0.0037177747252747253,18.2760989010989,72.97802197802197,1.1274725274725275
43,6,Loma Dorada,0.834175956284153,0.025689726775956285,0.01073863387978142,27.679371584699453,0.003281907103825136,17.351092896174862,65.2224043715847,0.6101092896174863
44,6,Miravalle,1.0748743169398907,0.023911502732240436,0.01192762295081967,66.86945355191257,0.003397213114754098,18.728961748633882,66.45765027322405,1.221584699453552
45,6,Oblatos,0.7450846994535519,0.019329754098360657,0.012513907103825137,33.81210382513661,0.0034186612021857923,18.393715846994535,71.78387978142077,1.8035519125683062
46,6,Tlaquepaque,0.8648524590163934,0.023180081967213113,0.009299945355191257,33.19349726775956,0.0024689617486338797,17.1275956284153,62.42295081967213,1.2948087431693989
47,6,Vallarta,0.833989344262295,0.017543647540983608,0.017669726775956286,27.86989071038251,0.001937950819672131,18.488524590163934,65.40081967213115,1.8065573770491805
48,7,Atemajac,1.3026885245901638,0.027289125683060106,0.007823989071038252,36.72125683060109,0.0022708196721311475,16.89863387978142,66.28825136612022,1.6926229508196722
49,7,Las Aguilas,0.9790219178082192,0.029197780821917808,0.006733561643835616,23.698219178082194,0.0013878904109589042,16.51835616438356,66.2131506849315,1.6575342465753424
50,7,Las Pintas,1.2363195592286502,0.02963112947658402,0.006704269972451791,51.93573002754822,0.0037624793388429754,17.89724517906336,74.18484848484849,1.015426997245179
51,7,Loma Dorada,1.1565092896174862,0.028937677595628413,0.008325901639344262,30.157021857923496,0.0033984262295081967,16.99754098360656,66.33169398907104,0.6319672131147541
52,7,Miravalle,1.424273224043716,0.025933333333333333,0.010453169398907104,66.40325136612022,0.003656174863387978,18.36393442622951,67.63142076502731,1.2038251366120218
53,7,Oblatos,1.1695819672131147,0.0234848087431694,0.00849325136612022,36.02532786885246,0.003672595628415301,18.016393442622952,72.61311475409836,1.796994535519126
54,7,Tlaquepaque,1.1348934426229507,0.027869754098360653,0.006713879781420765,35.34289617486339,0.0027051092896174865,16.76967213114754,63.54617486338798,1.2456284153005464
55,7,Vallarta,0.9720920765027323,0.022024453551912567,0.01398915300546448,28.758551912568304,0.0019430054644808744,18.146994535519127,66.43497267759562,1.6980874316939891
56,8,Atemajac,1.9690683060109289,0.03052357923497268,0.005933497267759563,42.30978142076503,0.002840355191256831,16.720765027322404,66.85437158469945,1.6243169398907105
57,8,Las Aguilas,1.4696584699453552,0.03109204918032787,0.004774453551912568,28.026256830601096,0.0016596994535519128,16.376229508196722,66.63551912568306,1.651912568306011
58,8,Las Pintas,1.536925,0.03103186111111111,0.005802138888888888,60.53775,0.003827555555555556,17.696666666666665,74.69500000000001,0.988611111111111
59,8,Loma Dorada,1.4506245901639343,0.031334234972677594,0.006452407103825137,36.564043715847,0.003677650273224044,16.824043715846994,66.78404371584699,0.637704918032787
60,8,Miravalle,1.7643743169398907,0.027487486338797815,0.009847786885245902,66.10439890710383,0.003963825136612022,18.200273224043716,68.05136612021857,1.2540983606557377
61,8,Oblatos,1.646409836065574,0.02631658469945355,0.005830792349726776,40.80956284153005,0.004184830601092896,17.778688524590162,73.28524590163934,1.8991803278688526
62,8,Tlaquepaque,1.7268772602739726,0.030994630136986303,0.005472630136986301,41.09827397260274,0.003295947945205479,16.593972602739726,64.27616438356164,1.3134246575342465
63,8,Vallarta,1.3553852459016393,0.027562103825136613,0.009531174863387977,32.6533606557377,0.0019570765027322403,17.96775956284153,66.93224043715847,1.6923497267759562
64,9,Atemajac,1.940808743169399,0.03299191256830601,0.007785437158469946,48.49693989071039,0.0030341803278688528,17.674590163934425,63.240163934426235,1.9172131147540985
65,9,Las Aguilas,1.613087431693989,0.032922513661202184,0.00632448087431694,34.12775956284153,0.001851256830601093,17.1103825136612,64.29972677595629,1.9754098360655739
66,9,Las Pintas,1.604667403314917,0.0333028729281768,0.007777624309392266,72.5057458563536,0.0038685359116022097,18.766850828729282,70.25220994475139,0.9997237569060773
67,9,Loma Dorada,1.5819628415300544,0.03128180327868853,0.007628688524590164,46.02398907103825,0.003845737704918033,17.50191256830601,64.76147540983607,0.8448087431693989
68,9,Miravalle,1.707568306010929,0.028831994535519125,0.010656174863387978,64.49147540983607,0.0040710382513661205,18.903551912568304,65.44699453551912,1.5584699453551911
69,9,Oblatos,1.493448087431694,0.02465863387978142,0.008530273224043716,45.47928961748634,0.004212786885245901,18.363387978142075,71.40491803278688,2.3816939890710382
70,9,Tlaquepaque,1.682167213114754,0.0313418524590164,0.007337349726775956,45.93718579234972,0.003387704918032787,17.365573770491803,62.50081967213114,1.8010928961748636
71,9,Vallarta,1.5743333333333334,0.030181202185792348,0.010849098360655738,38.13661202185792,0.001967540983606557,18.55792349726776,64.79125683060109,2.2
72,10,Atemajac,1.4480628415300547,0.03067054644808743,0.01430120218579235,48.69893442622951,0.002636967213114754,19.50846994535519,56.35109289617486,2.6153005464480876
73,10,Las Aguilas,1.3724125683060109,0.03591273224043716,0.01222688524590164,35.85325136612022,0.0018679234972677596,18.47704918032787,59.29426229508197,2.921857923497268
74,10,Las Pintas,1.1213653846153846,0.030429258241758243,0.014771098901098902,62.76321428571429,0.0038215384615384617,21.014835164835162,60.80357142857143,1.2697802197802197
75,10,Loma Dorada,1.2112027322404373,0.028905245901639343,0.012356939890710383,47.55789617486339,0.003633989071038251,18.828142076502733,60.240163934426235,1.2524590163934426
